combination,model,k_cross_val,model_params,accuracy
0,k_neighbors,5,"{'n_jobs': -1, 'weights': 'uniform', 'n_neighbors': 1}",0.6843920908708455
0,k_neighbors,5,"{'n_jobs': -1, 'weights': 'distance', 'n_neighbors': 5}",0.6561211611274715
0,k_neighbors,5,"{'n_jobs': -1, 'weights': 'distance', 'n_neighbors': 1}",0.6843920908708455
1,k_neighbors,5,"{'n_jobs': -1, 'weights': 'uniform', 'n_neighbors': 1}",0.6880100967606226
1,k_neighbors,5,"{'n_jobs': -1, 'weights': 'distance', 'n_neighbors': 5}",0.6551956247370635
1,k_neighbors,5,"{'n_jobs': -1, 'weights': 'distance', 'n_neighbors': 1}",0.6880100967606226
2,k_neighbors,5,"{'n_jobs': -1, 'weights': 'uniform', 'n_neighbors': 1}",0.7105595288178376
2,k_neighbors,5,"{'n_jobs': -1, 'weights': 'distance', 'n_neighbors': 5}",0.6746318889356331
2,k_neighbors,5,"{'n_jobs': -1, 'weights': 'distance', 'n_neighbors': 1}",0.7105595288178376
3,k_neighbors,5,"{'n_jobs': -1, 'weights': 'uniform', 'n_neighbors': 1}",0.702818679007152
3,k_neighbors,5,"{'n_jobs': -1, 'weights': 'distance', 'n_neighbors': 5}",0.6654606647034077
3,k_neighbors,5,"{'n_jobs': -1, 'weights': 'distance', 'n_neighbors': 1}",0.702818679007152
4,k_neighbors,5,"{'n_jobs': -1, 'weights': 'uniform', 'n_neighbors': 1}",0.7041649137568364
4,k_neighbors,5,"{'n_jobs': -1, 'weights': 'distance', 'n_neighbors': 5}",0.6692469499368954
4,k_neighbors,5,"{'n_jobs': -1, 'weights': 'distance', 'n_neighbors': 1}",0.7041649137568364
0,k_neighbors,5,"{'n_jobs': -1, 'weights': 'uniform', 'n_neighbors': 5}",0.5743374000841397
1,k_neighbors,5,"{'n_jobs': -1, 'weights': 'uniform', 'n_neighbors': 5}",0.5771140092553638
2,k_neighbors,5,"{'n_jobs': -1, 'weights': 'uniform', 'n_neighbors': 5}",0.5957088767353808
3,k_neighbors,5,"{'n_jobs': -1, 'weights': 'uniform', 'n_neighbors': 5}",0.590071518721077
4,k_neighbors,5,"{'n_jobs': -1, 'weights': 'uniform', 'n_neighbors': 5}",0.5888935633151031
